epoch,accuracy,loss,precision_2,recall_2,val_accuracy,val_loss,val_precision_2,val_recall_2
0,0.019656019285321236,0.356806218624115,0.09861212223768234,0.022113021463155746,0.0784313753247261,0.3318658769130707,0.0,0.0
1,0.018018018454313278,0.3294532895088196,0.0,0.0,0.03921568766236305,0.33071595430374146,0.0,0.0
2,0.021294021978974342,0.32881519198417664,0.0,0.0,0.019607843831181526,0.3292028605937958,0.0,0.0
3,0.018837017938494682,0.32865214347839355,0.0,0.0,0.003267973894253373,0.32844990491867065,0.0,0.0
4,0.014742014929652214,0.32789161801338196,0.0,0.0,0.0,0.3306457996368408,0.0,0.0
5,0.012285011820495129,0.32797327637672424,0.0,0.0,0.022875817492604256,0.32817864418029785,0.0,0.0
6,0.015561015345156193,0.3280673027038574,0.0,0.0,0.0,0.32843753695487976,0.0,0.0
7,0.015561015345156193,0.3275943696498871,0.0,0.0,0.0,0.3305477201938629,0.0,0.0
8,0.015561015345156193,0.327602744102478,0.0,0.0,0.003267973894253373,0.3295627534389496,0.0,0.0
9,0.02538902498781681,0.3272879421710968,0.0,0.0,0.009803921915590763,0.32781654596328735,0.0,0.0
10,0.014742014929652214,0.3274286687374115,0.0,0.0,0.03921568766236305,0.327859103679657,0.0,0.0
11,0.01146601140499115,0.32719725370407104,0.0,0.0,0.0,0.3265393078327179,0.0,0.0
12,0.009828009642660618,0.32694894075393677,0.0,0.0,0.003267973894253373,0.3273797929286957,0.0,0.0
13,0.012285011820495129,0.32688578963279724,0.0,0.0,0.022875817492604256,0.32817307114601135,0.0,0.0
14,0.017199017107486725,0.32669538259506226,0.0,0.0,0.003267973894253373,0.3291205167770386,0.0,0.0
15,0.009828009642660618,0.32696813344955444,0.0,0.0,0.022875817492604256,0.3267693519592285,0.0,0.0
16,0.013104013167321682,0.32684627175331116,0.0,0.0,0.04248366132378578,0.32781893014907837,0.0,0.0
17,0.0229320228099823,0.3269440233707428,0.0,0.0,0.0,0.32698893547058105,0.0,0.0
18,0.009828009642660618,0.3265080451965332,0.0,0.0,0.029411764815449715,0.32885345816612244,0.0,0.0
19,0.027027027681469917,0.32652294635772705,0.0,0.0,0.022875817492604256,0.3261927664279938,0.0,0.0
20,0.010647010989487171,0.3265153765678406,0.0,0.0,0.022875817492604256,0.3272501230239868,0.0,0.0
21,0.008190007880330086,0.32641270756721497,0.0,0.0,0.03921568766236305,0.3276621401309967,0.0,0.0
22,0.024570023640990257,0.32637402415275574,0.0,0.0,0.022875817492604256,0.3273499011993408,0.0,0.0
23,0.02047502063214779,0.326641321182251,0.0,0.0,0.0,0.3266598880290985,0.0,0.0
24,0.007371007464826107,0.3263264000415802,0.0,0.0,0.022875817492604256,0.32806986570358276,0.0,0.0
25,0.013104013167321682,0.3262503445148468,0.0,0.0,0.003267973894253373,0.32616347074508667,0.0,0.0
26,0.009828009642660618,0.32598403096199036,0.0,0.0,0.019607843831181526,0.32704871892929077,0.0,0.0
27,0.014742014929652214,0.3262917995452881,0.0,0.0,0.026143791154026985,0.32654714584350586,0.0,0.0
28,0.009009009227156639,0.32616204023361206,0.0,0.0,0.016339870169758797,0.32609930634498596,0.0,0.0
29,0.009828009642660618,0.32617735862731934,0.0,0.0,0.016339870169758797,0.32760217785835266,0.0,0.0
30,0.031122030690312386,0.32612526416778564,0.0,0.0,0.003267973894253373,0.32699257135391235,0.0,0.0
31,0.014742014929652214,0.32601556181907654,0.0,0.0,0.03267974033951759,0.3265458047389984,0.0,0.0
32,0.015561015345156193,0.3260595202445984,0.0,0.0,0.003267973894253373,0.3269180953502655,0.0,0.0
33,0.01146601140499115,0.3259125351905823,0.0,0.0,0.006535947788506746,0.32651200890541077,0.0,0.0
34,0.009828009642660618,0.3258511424064636,0.0,0.0,0.006535947788506746,0.3259187638759613,0.0,0.0
35,0.012285011820495129,0.32585442066192627,0.0,0.0,0.003267973894253373,0.3260361850261688,0.0,0.0
36,0.017199017107486725,0.3259059488773346,0.0,0.0,0.0,0.32617127895355225,0.0,0.0
37,0.018837017938494682,0.3258734345436096,0.0,0.0,0.019607843831181526,0.3265678286552429,0.0,0.0
38,0.019656019285321236,0.32566264271736145,0.0,0.0,0.013071895577013493,0.3257659375667572,0.0,0.0
39,0.013104013167321682,0.32581213116645813,0.0,0.0,0.016339870169758797,0.32651832699775696,0.0,0.0
40,0.007371007464826107,0.3256532847881317,0.0,0.0,0.04248366132378578,0.3264564275741577,0.0,0.0
41,0.0229320228099823,0.32582730054855347,0.0,0.0,0.0,0.32671400904655457,0.0,0.0
42,0.012285011820495129,0.3257271945476532,0.0,0.0,0.022875817492604256,0.3281935751438141,0.0,0.0
43,0.010647010989487171,0.32563063502311707,0.0,0.0,0.003267973894253373,0.3264121413230896,0.0,0.0
44,0.012285011820495129,0.32553723454475403,0.0,0.0,0.019607843831181526,0.3265205919742584,0.0,0.0
45,0.02047502063214779,0.3254074454307556,0.0,0.0,0.022875817492604256,0.32851266860961914,0.0,0.0
46,0.022113021463155746,0.3255801796913147,0.0,0.0,0.026143791154026985,0.32729125022888184,0.0,0.0
47,0.01638001576066017,0.325515478849411,0.0,0.0,0.009803921915590763,0.32626575231552124,0.0,0.0
48,0.019656019285321236,0.32534632086753845,0.0,0.0,0.006535947788506746,0.326458603143692,0.0,0.0
